latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,date,,,,,,,,,
0,0.099373385,0,0,0.102101035,0,0.0259493,0.18601489,0.12232647,0,0,0.10190988,0,0.08714678,0.003483644,0.06627432,0.016968548,0,0,0.066009685,2019-08-29,,,,,,,,,
0,0.099525996,0,0,0.100212164,0,0.026195971,0.18267466,0.120375946,0,0,0.10093805,0,0.08723204,0.003721084,0.06550358,0.016193073,0,0,0.06547704,2019-08-30,,,,,,,,,
0,0.10460222,0,0,0.0991068,0,0.03452271,0.1814106,0.121111654,0,0,0.10065396,0,0.08240804,0.005985098,0.070755035,0.01311485,0,0,0.063880175,2019-09-02,,,,,,,,,
0,0.110366516,0,0,0.09623822,0,0.043726616,0.17929196,0.12030464,0,0,0.10081,0,0.078422904,0.007948741,0.074665084,0.010566664,0,0,0.06374911,2019-09-03,,,,,,,,,
0,0.108894825,0,0,0.09521906,0,0.043759543,0.18220064,0.122137435,0,0,0.10015647,0,0.08104773,0.008572813,0.075461164,0.010926389,0,0,0.06384437,2019-09-04,,,,,,,,,
0,0.10604926,0,0,0.08974677,0,0.046013936,0.18298304,0.123406336,0,0,0.10074167,0,0.08354741,0.005277977,0.07620139,0.011861791,0,0,0.06385415,2019-09-05,,,,,,,,,
0,0.10344754,0,0,0.08351545,0,0.05162333,0.17905469,0.1196832,0,0,0.10183325,0,0.08313685,0.002841937,0.07875381,0.01245223,0,0.003082426,0.06223739,2019-09-06,,,,,,,,,
0,0.10213318,0,0,0.08575574,0,0.054347355,0.17713498,0.11497057,0,0,0.10248659,0,0.08260536,0.003823424,0.080014616,0.011458635,0,0.004177702,0.06342136,2019-09-09,,,,,,,,,
0,0.103343606,0,0,0.08957737,0,0.052706283,0.1768154,0.11314523,0,0,0.102500945,0,0.08116946,0.006663018,0.08154918,0.00998556,0,0.003912057,0.06569603,2019-09-10,,,,,,,,,
0,0.10624573,0,0,0.092135854,0,0.0532641,0.17723075,0.11295716,0,0,0.10204327,0,0.07901763,0.010169219,0.08409246,0.008180083,0,0.002205102,0.06608846,2019-09-11,,,,,,,,,
0,0.10973566,0,0,0.0944677,0,0.05470204,0.17563988,0.11158586,0,0,0.10047682,0,0.07753238,0.014707216,0.08946538,0.005786953,0,0.001772412,0.066809215,2019-09-16,,,,,,,,,
