latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,date
0,0.7870699,0,0,4.079712,3.1025999,0.69678056,3.8873634,0,0,0,0,0.40669042,0.32551888,0.87582064,2016-06-23
0,0.7961894,0,0,4.0726004,3.1165473,0.7031474,3.8879614,0,0,0,0,0.40707994,0.33002353,0.89336246,2016-06-24
0,0.81267285,0,0,4.083454,3.134548,0.69941634,3.8922892,0,0,0,0,0.42193627,0.3411695,0.92004687,2016-06-27
0,0.82802176,0,0,4.093766,3.1516998,0.6892061,3.8959167,0,0,0,0,0.43295074,0.3470191,0.9446021,2016-06-28
0,0.83862126,0,0,4.100486,3.1720467,0.6842514,3.9064763,0,0,0,0,0.43435836,0.34722188,0.96422756,2016-06-29
0,0.84766793,0,0,4.0956554,3.1821535,0.67347467,3.9036386,0,0,0,0,0.43193248,0.3450588,0.98116285,2016-06-30
0,0.85681236,0,0,4.0958595,3.195764,0.6708162,3.9060953,0,0,0,0,0.43457606,0.34768194,0.99856174,2016-07-01
0,0.8578353,0,0,4.0899944,3.2004864,0.6768664,3.9110825,0,0,0,0,0.4300841,0.3414332,1.0058491,2016-07-04
0,0.85092735,0,0,4.075753,3.198115,0.69145584,3.9179869,0,0,0,0,0.4172858,0.32888153,1.0042517,2016-07-05
0,0.84192085,0,0,4.063866,3.1870668,0.7007458,3.9217694,0,0,0,0,0.40876484,0.3161599,0.99918115,2016-07-06
0,0.8293216,0,0,4.0572376,3.17639,0.7120893,3.929539,0,0,0,0,0.40046164,0.30605096,0.9921497,2016-07-07
0,0.8164226,0,0,4.0477047,3.16418,0.722879,3.932128,0,0,0,0,0.39575636,0.29890484,0.98684555,2016-07-08
0,0.80072594,0,0,4.035028,3.1541452,0.7380046,3.9367726,0,0,0,0,0.38620815,0.29001102,0.9789597,2016-07-11
0,0.7801087,0,0,4.016183,3.1417556,0.7550674,3.941752,0,0,0,0,0.3673945,0.27937922,0.965878,2016-07-12
0,0.760823,0,0,3.9897742,3.1221561,0.7710617,3.9341118,0,0,0,0,0.35260049,0.27387592,0.9539963,2016-07-13
0,0.74241173,0,0,3.9673018,3.1051939,0.78841,3.9290326,0,0,0,0,0.3400108,0.27152973,0.94213927,2016-07-14
0,0.71820736,0,0,3.9322355,3.0804048,0.8061658,3.9180174,0,0,0,0,0.31715995,0.26441625,0.9226557,2016-07-15
0,0.6951854,0,0,3.895719,3.0557017,0.8293215,3.9042795,0,0,0,0,0.29879594,0.26375142,0.9057749,2016-07-18
