단순 기관경쟁률,의무보유확약비율,(확정)공모가격,청약경쟁률,공모후 발행주식수,유동자산,비유동자산,유동부채,비유동부채,자본금,이익잉여금,기타자본항목,영업이익,당기순이익,매출액,최대주주 소유주 비율,최대주주 보호예수 기간,보호예수 비율,DLR,PPI (%),기업경기실사지수(BSI),기준금리,대표매매감정점수,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,Growth,Infra,Protective,Sensitive,등락율_이진
247.25,0.2,15000,455,11050000,2.53E+11,1.24E+11,99614249394,32013703566,5025000000,2.23E+11,17035363901,11587688525,18257210543,1.32E+11,41.28,6,83.71,93.33,100,0,0,-0.486525,0,2.7026253,2.7801044,2.0260575,0,0,0,0.28891927,2.6388931,1.9268379,0,1.4785023,0.62171644,3.2214143,0.7979483,0,0,0,1,0
148.39,0,9000,11,9052400,26317893519,13798746027,4838996474,4152702278,3000000000,21941507940,6183432854,3477572501,2778688460,9829900265,60.32,6,61.34,94.12,9.09,-8.75,0,0.329139,0,1.2325417,2.4851882,1.2396219,0,0,0,0.020460226,1.8580095,1.7679946,0,1.1772918,1.1762341,2.8113172,1.0062026,0,0,0,1,1
299.23,0.005,3000,11,10884000,31693582433,42504682410,43195550382,3111680180,4000000000,11594248459,234678267,4423978424,3296229888,95125178211,73.5,1,76.85,93.75,57.14,0,0,-0.167122,0.21820527,0.72867924,1.7847989,0.6221701,0.34465322,0,0.08792491,0,1.2316843,0.94390404,0.0922034,0.44735634,1.3621422,2.9128036,1.1014787,0,0,0,1,1
76.75,1.32,6800,409,24111530,1.12E+11,97965245876,1.19E+11,39999886478,8732235500,11731178383,412379783,16385056443,11824282580,4.35E+11,47.15,6,66.78,94.12,0,-2.702702703,0,0.265232,0,1.1452612,1.459891,2.7234426,1.2661678,0,0,0,0.33458635,1.692138,2.6385682,2.8994324,2.1199872,3.9457788,0.4591255,0,0,1,0,1
219.91,18.9,2500,812,14566000,98377621893,1.20E+11,1.21E+11,12780658115,6000000000,78163585799,86957520,4428411798,2090333182,1.42E+11,76.75,6,82.76,94.12,100,1.408450704,0,-0.508121,0,1.7886872,3.0278683,4.6765356,0,0,0,2.0375834,0.68288434,1.6855074,2.2285223,0.8120405,1.1236944,3.8491843,1.1185099,0,0,0,1,1
97.21,8.46,46000,151,7182381,1.00E+11,32344825614,42387579087,7063677760,3091190500,34533924324,323155918,8127498927,7324135272,49935483053,35.88,2,46.7,94.74,20,3.773584906,0,-0.227423,0.48961437,0,2.5560944,0.15964192,4.0328083,0,0,0,0.5185334,3.3866646,0,0.50341946,3.7765884,1.4619827,0,0,0,1,0,0
734.67,10.2,34000,773,14466030,139505,87644,74522,5284,5872,128944,11901,15781,13010,221266,42.55,18,84.22,68.42,220,-2.777777778,-7.692307692,-0.213208,6.195747,0.6216721,4.2476807,3.2082138,0,0,0,0.007442596,1.6830155,3.9435532,0,0,0.31123555,0.77453756,0,0,0,1,0,1
33.28,5.8,60000,7,34009698,2.14E+11,4.16E+11,1.28E+11,95954344694,12350084000,-58140615766,0,40855746362,-9963986760,1.85E+11,19.99,2,60.37,93.75,-100,3.797468354,0,-0.477091,4.267659,0.5829972,2.2273698,1.1404359,1.199388,0,0.8094339,0,0.29635966,0.36947924,0.4866932,0,0,0,0,1,0,0,0,0
348.6,7.17,19000,1,18393808,29710037170,58826960662,15510369875,7899381876,7560000000,52444209560,-674052589,4617793738,3776177705,14744394080,58.06,1,75.5,93.75,100,-5.333333333,0,0.076076,0.23940238,0.4560452,1.7278992,0.19752797,0.87979585,0,0,0,1.0565075,1.0837431,0.003612511,0.43749908,1.7893026,2.7135649,0.8679966,0,0,0,1,0
650,80.1,13000,899,8012000,43492241733,33124486182,31124196411,4625179409,2976000000,45809335304,-9201983209,4060617025,3309726640,23128811215,35.57,1,73.25,94.12,242.86,-2.739726027,-10,-0.199787,0.92361134,2.874445,3.7626014,6.4925127,0.031218994,0,0,2.9725292,0.24995905,1.2360972,3.0589488,0,0.12950918,2.8576646,0.16847876,0,0,0,1,1
